t`s	i(vs)`A
3.87058e-07	5.70563e-09
3.88737e-07	-6.02835e-09
3.89073e-07	5.74536e-09
3.89341e-07	-6.05886e-09
3.89769e-07	-6.07206e-09
3.90599e-07	-6.10406e-09
3.90925e-07	-6.0824e-09
3.91958e-07	5.76721e-09
3.92441e-07	5.75085e-09
3.92538e-07	5.73222e-09
3.92847e-07	5.71953e-09
3.93624e-07	-6.03705e-09
3.94737e-07	2.18431e-09
3.94929e-07	-6.0806e-09
3.95542e-07	5.70982e-09
3.97137e-07	-6.02928e-09
3.97603e-07	-6.05233e-09
3.97952e-07	-6.0549e-09
3.98214e-07	5.73445e-09
3.98812e-07	5.74777e-09
3.99e-07	-6.08321e-09
