Voltage_V,State,State_pred,Current_A,Current_pred_A
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.0,1.0,1.0,1.9999999900434281e-10,1.6181209502974525e-05
0.1,1.0,1.0,2.4385699998637234e-08,1.7380714780301787e-05
0.2,1.0,1.0,5.595709999993453e-08,1.858475116023328e-05
0.29999999999999966,1.0,1.0,9.892859999905204e-08,1.9784258256549947e-05
0.4,1.0,1.0,1.5285700000042476e-07,2.098074219247792e-05
0.5000000000000003,1.0,1.0,2.197140000012662e-07,2.2172693206812255e-05
0.6,1.0,1.0,3.0085700000088566e-07,2.335709177714307e-05
0.6999999999999996,1.0,1.0,4.019999999994266e-07,2.4508253773092292e-05
0.8,1.0,1.0,5.255709999997718e-07,2.558539381425362e-05
0.9000000000000004,1.0,1.0,6.667139999989697e-07,2.645858512551058e-05
1.0,1.0,1.0,8.362860000008813e-07,2.683324237295892e-05
1.0999999999999996,1.0,1.0,9.991429999993599e-07,2.5916238882928155e-05
1.2,1.0,1.0,1.182859999999232e-06,2.1784440832561813e-05
1.3000000000000003,1.0,1.0,1.4228600000003597e-06,4.7181023546727374e-05
1.4,1.0,1.0,1.6799999999994516e-06,0.00011874194751726463
1.4999999999999996,1.0,1.0,1.9500000000003684e-06,5.952051651547663e-05
1.6,1.0,1.0,2.3014299999988566e-06,2.964920895465184e-05
1.7000000000000004,1.0,1.0,2.688570000000787e-06,4.738345887744799e-05
1.8,1.0,1.0,3.024290000000383e-06,0.00010748110071290284
1.8999999999999997,1.0,1.0,3.4928599999998846e-06,0.00016238036914728582
2.0,1.0,1.0,4.047139999998725e-06,0.00017074518837034702
2.1000000000000005,1.0,1.0,4.529999999999124e-06,0.00013887218665331602
2.2,1.0,1.0,4.984289999998805e-06,0.00015205919044092298
2.3,1.0,1.0,5.615710000000816e-06,0.00017276500875595957
2.4,1.0,1.0,6.151430000000882e-06,0.0005119259003549814
2.5000000000000004,1.0,1.0,6.822859999998999e-06,0.0022975271567702293
2.6,0.0,0.0,0.004999257000000001,0.003264387371018529
2.6999999999999997,0.0,0.0,0.004999370999999999,0.0050001442432403564
2.8,0.0,0.0,0.0049992000000000005,0.005000730510801077
2.9000000000000004,0.0,0.0,0.004999400000000001,0.005001313518732786
3.0,0.0,0.0,0.004999400000000001,0.0050018965266644955
3.0999999999999996,0.0,0.0,0.004999257000000001,0.005002476740628481
3.2,0.0,0.0,0.004999542999999998,0.00500305974856019
3.3,0.0,0.0,0.004999400000000001,0.005003643222153187
3.4,0.0,0.0,0.0049992859999999995,0.00500422902405262
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.005030092783272266
3.4999999999999996,0.0,0.0,0.004999400000000001,0.005030092783272266
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4999999999999996,0.0,0.0,0.004999400000000001,0.00503009557723999
3.4,0.0,0.0,0.0049992859999999995,0.00500422902405262
3.3,0.0,0.0,0.004999400000000001,0.005003643222153187
3.2,0.0,0.0,0.004999542999999998,0.00500305974856019
3.0999999999999996,0.0,0.0,0.004999257000000001,0.005002476740628481
3.0,0.0,0.0,0.004999400000000001,0.0050018965266644955
