Voltage_V,State,State_pred,Current_A,Current_pred_A
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.0,1.0,1.0,1.510000000000001e-07,1.4988687269124057e-07
0.025000000000000112,1.0,1.0,1.2300000000000003e-06,1.515261601525708e-06
0.049999999999999926,1.0,1.0,2.481700000000001e-06,2.155763013433898e-06
0.07500000000000004,1.0,1.0,3.758800000000001e-06,6.2184153648559e-06
0.09999999999999985,1.0,1.0,5.088300000000006e-06,6.935782039363403e-06
0.12499999999999996,1.0,1.0,6.473800000000002e-06,7.735889084869996e-06
0.15000000000000008,1.0,1.0,7.917500000000002e-06,8.628295290691312e-06
0.17499999999999988,1.0,1.0,9.30830000000001e-06,9.623659934732132e-06
0.2,1.0,1.0,1.0867000000000005e-05,1.073382645699894e-05
0.22500000000000012,1.0,1.0,1.2338000000000005e-05,1.1972072570642922e-05
0.24999999999999992,1.0,1.0,1.3775000000000008e-05,1.3353162103157956e-05
0.275,1.0,1.0,1.5642000000000007e-05,1.4893540537741501e-05
0.30000000000000016,1.0,1.0,1.735000000000001e-05,1.6611647879472002e-05
0.32499999999999996,1.0,1.0,1.9382999999999987e-05,1.852789500844665e-05
0.3500000000000001,1.0,1.0,2.5024999999999975e-05,2.0665214833570644e-05
0.3749999999999999,1.0,1.0,2.5336999999999985e-05,2.304906229255721e-05
0.4,1.0,1.0,2.9699999999999993e-05,2.5707504391903058e-05
0.4250000000000001,1.0,1.0,3.280000000000001e-05,2.867184412025381e-05
0.4499999999999999,1.0,1.0,3.512499999999998e-05,3.197649493813515e-05
0.47500000000000003,1.0,1.0,3.7720999999999966e-05,3.565862061805092e-05
0.49999999999999983,1.0,1.0,4.019999999999998e-05,3.87649706681259e-05
0.5249999999999999,1.0,1.0,4.479999999999996e-05,4.1270315705332905e-05
0.55,1.0,1.0,5.1450000000000044e-05,4.3867585191037506e-05
0.5749999999999998,1.0,1.0,3.1491999999999976e-05,4.6475739509332925e-05
0.6,1.0,1.0,2.9699999999999993e-05,4.891979187959805e-05
0.6249999999999998,1.0,1.0,3.0616999999999975e-05,5.082619463792071e-05
0.6499999999999999,1.0,1.0,3.350000000000003e-05,5.1438350055832416e-05
0.675,1.0,1.0,3.5974999999999994e-05,5.272462294669822e-05
0.7000000000000002,1.0,1.0,0.00014691999999999998,0.0001296909904340282
0.725,1.0,1.0,0.0007063700000000002,0.0006913053803145885
0.7500000000000001,1.0,1.0,0.0007782500000000003,0.0007572317845188081
0.7749999999999999,1.0,1.0,0.0008492499999999999,0.0008326168754138052
0.8,1.0,1.0,0.0009199999999999997,0.0009321652469225228
0.8250000000000001,0.0,0.0,0.001,0.000982877449132502
0.85,0.0,0.0,0.001,0.0009978152811527252
0.875,0.0,0.0,0.001,0.0009980957256630063
0.8999999999999998,0.0,0.0,0.001,0.0009983774507418275
0.9249999999999999,0.0,0.0,0.001,0.0009986591758206487
0.9500000000000001,0.0,0.0,0.001,0.0009989399695768952
0.9750000000000002,0.0,0.0,0.001,0.0009992218110710382
1.0,0.0,0.0,0.001,0.000999503885395825
1.025,0.0,0.0,0.001,0.000999784329906106
1.0499999999999998,0.0,0.0,0.001,0.0010000664042308927
1.075,0.0,0.0,0.001,0.0010003475472331047
1.1,0.0,0.0,0.001,0.0010006310185417533
1.125,0.0,0.0,0.001,0.0010009122779592872
1.1499999999999997,0.0,0.0,0.001,0.0010011936537921429
1.1749999999999998,0.0,0.0,0.001,0.0010014772415161133
1.2,0.0,0.0,0.001,0.0010017582681030035
1.2,0.0,0.0,0.001,0.0010017582681030035
1.2,0.0,0.0,0.001,0.0010017582681030035
1.2,0.0,0.0,0.001,0.0010017582681030035
1.2,0.0,0.0,0.001,0.0010017582681030035
1.2,0.0,0.0,0.001,0.0010017582681030035
1.2,0.0,0.0,0.001,0.0010017582681030035
1.2,0.0,0.0,0.001,0.0010017582681030035
1.2,0.0,0.0,0.001,0.0010017582681030035
