t`s,v(node0)`V
1.21E-06,0.0750002
1.21E-06,0
1.21E-06,0
1.22E-06,0
1.22E-06,0
1.23E-06,0
1.23E-06,0
1.24E-06,0
1.24E-06,0.125
1.24E-06,0.375
1.25E-06,0.5
1.25E-06,0.5
1.25E-06,0.5
1.26E-06,0.5
1.26E-06,0.5
1.27E-06,0.5
1.27E-06,0.5
1.27E-06,0.375
1.28E-06,0.125
1.28E-06,0
1.28E-06,0
1.29E-06,0
1.29E-06,0
1.30E-06,0
1.30E-06,0
1.31E-06,0
1.31E-06,0.125
1.31E-06,0.375
1.32E-06,0.625
1.32E-06,0.875
1.33E-06,1.125
1.33E-06,1.2
1.33E-06,1.2
1.34E-06,1.2
1.34E-06,1.2
1.35E-06,1.2
1.35E-06,1.2
1.36E-06,1.2
1.36E-06,1.075
1.36E-06,0.825
1.37E-06,0.575
1.37E-06,0.325
1.38E-06,0.0750002
1.38E-06,0
1.38E-06,0
1.39E-06,0
1.39E-06,0
1.40E-06,0
1.40E-06,0
1.41E-06,0
1.41E-06,0.125
1.41E-06,0.375
1.42E-06,0.5
1.42E-06,0.5
1.42E-06,0.5
1.43E-06,0.5
1.43E-06,0.5
1.44E-06,0.5
1.44E-06,0.5
1.44E-06,0.375
1.45E-06,0.125
1.45E-06,0
1.45E-06,0
1.46E-06,0
1.46E-06,0
1.47E-06,0
1.47E-06,0
1.48E-06,0
1.48E-06,-0.125
1.48E-06,-0.375
1.49E-06,-0.625
1.49E-06,-0.875
1.50E-06,-1.125
1.50E-06,-1.375
1.51E-06,-1.5
1.51E-06,-1.5
1.51E-06,-1.5
1.52E-06,-1.5
1.52E-06,-1.5
1.53E-06,-1.5
1.53E-06,-1.5
1.53E-06,-1.375
1.54E-06,-1.125
1.54E-06,-0.875
1.55E-06,-0.625
1.55E-06,-0.375
1.56E-06,-0.125
1.56E-06,0
1.56E-06,0
1.57E-06,0
1.57E-06,0
1.58E-06,0
1.58E-06,0
1.59E-06,0
1.59E-06,0.125
1.59E-06,0.375
1.60E-06,0.5
1.60E-06,0.5
1.60E-06,0.5
1.61E-06,0.5
1.61E-06,0.5
1.62E-06,0.5
1.62E-06,0.5
1.62E-06,0.375
1.63E-06,0.125
1.63E-06,0
1.63E-06,0
1.64E-06,0
1.64E-06,0
1.65E-06,0
1.65E-06,0
1.66E-06,0
1.66E-06,0.125
1.66E-06,0.375
1.67E-06,0.625
1.67E-06,0.875
1.68E-06,1.125
1.68E-06,1.2
1.68E-06,1.2
1.69E-06,1.2
1.69E-06,1.2
1.70E-06,1.2
1.70E-06,1.2
1.70E-06,1.2
1.71E-06,1.075
1.71E-06,0.825
1.72E-06,0.575
1.72E-06,0.325
1.73E-06,0.0750002
1.73E-06,0
