State,Voltage(V),Current(A)
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
-0.339285714,3.5,0.0049994
-0.357142857,3.4,0.004999286
-0.375,3.3,0.0049994
-0.392857143,3.2,0.004999543
-0.410714286,3.1,0.004999257
-0.428571429,3,0.0049994
-0.446428571,2.9,0.0049994
-0.464285714,2.8,0.0049992
-0.482142857,2.7,0.004999371
-0.5,2.6,0.004999257
-0.517857143,2.5,0.004999343
-0.535714286,2.4,0.0049992
-0.553571429,2.3,0.004999371
-0.571428571,2.2,0.0049992
-0.589285714,2.1,0.0049994
-0.607142857,2,0.0049994
-0.625,1.9,0.0049994
-0.642857143,1.8,0.004773629
-0.660714286,1.7,0.004076343
-0.678571429,1.6,0.003468543
-0.696428571,1.5,0.0029382
-0.714285714,1.4,0.0024694
-0.732142857,1.3,0.00207
-0.75,1.2,0.001722057
-0.767857143,1.1,0.0014272
-0.785714286,1,0.001176057
-0.803571429,0.9,0.00096158
-0.821428571,0.8,0.000780751
-0.839285714,0.7,0.00062494
-0.857142857,0.6,0.000494429
-0.875,0.5,0.000381217
-0.892857143,0.4,0.000284243
-0.910714286,0.3,0.000199986
-0.928571429,0.2,0.000125903
-0.946428571,0.1,6.05714E-05
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.946428571,0.1,6.05714E-05
-0.928571429,0.2,0.000125903
-0.910714286,0.3,0.000199986
-0.892857143,0.4,0.000284243
-0.875,0.5,0.000381217
-0.857142857,0.6,0.000494429
-0.839285714,0.7,0.00062494
-0.821428571,0.8,0.000780751
-0.803571429,0.9,0.00096158
-0.785714286,1,0.001176057
-0.767857143,1.1,0.0014272
-0.75,1.2,0.001722057
-0.732142857,1.3,0.00207
-0.714285714,1.4,0.0024694
-0.696428571,1.5,0.0029382
-0.678571429,1.6,0.003468543
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.660714286,1.7,0.004076343
-0.678571429,1.6,0.003468543
-0.696428571,1.5,0.0029382
-0.714285714,1.4,0.0024694
-0.732142857,1.3,0.00207
-0.75,1.2,0.001722057
-0.767857143,1.1,0.0014272
-0.785714286,1,0.001176057
-0.803571429,0.9,0.00096158
-0.821428571,0.8,0.000780751
-0.839285714,0.7,0.00062494
-0.857142857,0.6,0.000494429
-0.875,0.5,0.000381217
-0.892857143,0.4,0.000284243
-0.910714286,0.3,0.000199986
-0.928571429,0.2,0.000125903
-0.946428571,0.1,6.05714E-05
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.964285714,0,0.00000138
-0.982142857,-0.1,-0.000625487
-1,-0.2,-0.00125164
-1.017857143,-0.3,-0.001877
-1.035714286,-0.4,-0.002503467
-1.053571429,-0.5,-0.003123467
-1.071428571,-0.6,-0.003746
-1.089285714,-0.7,-0.004366
-1.107142857,-0.8,-0.004998467
-1.125,-0.9,-0.0056318
-1.142857143,-1,-0.006266467
-1.160714286,-1.1,-0.006905067
-1.178571429,-1.2,-0.007544
-1.196428571,-1.3,-0.008198467
-1.214285714,-1.4,-0.008842333
-1.232142857,-1.5,-0.0094912
-1.25,-1.6,-0.0101498
-1.267857143,-1.7,-0.010828133
-1.285714286,-1.8,-0.011497
-1.303571429,-1.9,-0.012152
-1.321428571,-2,-0.012950667
-1.339285714,-2.1,-0.013822
-1.357142857,-2.2,-0.014691333
-1.375,-2.3,-0.015540667
-1.392857143,-2.4,-0.016402
-1.410714286,-2.5,-0.017243333
-1.428571429,-2.6,-0.018045333
-1.446428571,-2.7,-0.018906
-1.464285714,-2.8,-0.019650667
-1.482142857,-2.9,-0.020346
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.5,-3,-0.0000017
1.482142857,-2.9,-1.88667E-05
1.464285714,-2.8,-2.00667E-05
1.446428571,-2.7,-0.0000173
1.428571429,-2.6,-1.57333E-05
1.410714286,-2.5,-1.40667E-05
1.392857143,-2.4,-0.0000129
1.375,-2.3,-1.14667E-05
1.357142857,-2.2,-1.03033E-05
1.339285714,-2.1,-0.00000931
1.321428571,-2,-0.00000833
1.303571429,-1.9,-7.93333E-06
1.285714286,-1.8,-0.00000655
1.267857143,-1.7,-5.84333E-06
1.25,-1.6,-5.16667E-06
1.232142857,-1.5,-0.00000456
1.214285714,-1.4,-4.02667E-06
1.196428571,-1.3,-0.00000355
1.178571429,-1.2,-0.00000305
1.160714286,-1.1,-2.56667E-06
1.142857143,-1,-2.12333E-06
1.125,-0.9,-0.00000176
1.107142857,-0.8,-0.00000137
1.089285714,-0.7,-1.07167E-06
1.071428571,-0.6,-0.000000786
1.053571429,-0.5,-6.08667E-07
1.035714286,-0.4,-4.64333E-07
1.017857143,-0.3,-0.000000303
1,-0.2,-0.000000165
