State,Voltage(V),Current(A),dw_1
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.678571429,1.6,0.003468543,-0.017857143
-0.696428571,1.5,0.0029382,-0.017857143
-0.714285714,1.4,0.0024694,-0.017857143
-0.732142857,1.3,0.00207,-0.017857143
-0.75,1.2,0.001722057,-0.017857143
-0.767857143,1.1,0.0014272,-0.017857143
-0.785714286,1,0.001176057,-0.017857143
-0.803571429,0.9,0.00096158,-0.017857143
-0.821428571,0.8,0.000780751,-0.017857143
-0.839285714,0.7,0.00062494,-0.017857143
-0.857142857,0.6,0.000494429,-0.017857143
-0.875,0.5,0.000381217,-0.017857143
-0.892857143,0.4,0.000284243,-0.017857143
-0.910714286,0.3,0.000199986,-0.017857143
-0.928571429,0.2,0.000125903,-0.017857143
-0.946428571,0.1,6.05714E-05,-0.017857143
-0.964285714,0,0.00000138,-0.017857143
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.946428571,0.1,6.05714E-05,0.017857143
-0.928571429,0.2,0.000125903,0.017857143
-0.910714286,0.3,0.000199986,0.017857143
-0.892857143,0.4,0.000284243,0.017857143
-0.875,0.5,0.000381217,0.017857143
-0.857142857,0.6,0.000494429,0.017857143
-0.839285714,0.7,0.00062494,0.017857143
-0.821428571,0.8,0.000780751,0.017857143
-0.803571429,0.9,0.00096158,0.017857143
-0.785714286,1,0.001176057,0.017857143
-0.767857143,1.1,0.0014272,0.017857143
-0.75,1.2,0.001722057,0.017857143
-0.732142857,1.3,0.00207,0.017857143
-0.714285714,1.4,0.0024694,0.017857143
-0.696428571,1.5,0.0029382,0.017857143
-0.678571429,1.6,0.003468543,0.017857143
-0.660714286,1.7,0.004076343,0.017857143
-0.642857143,1.8,0.004773629,0.017857143
-0.625,1.9,0.0049994,0.017857143
-0.607142857,2,0.0049994,0.017857143
-0.589285714,2.1,0.0049994,0.017857143
-0.571428571,2.2,0.0049992,0.017857143
-0.553571429,2.3,0.004999371,0.017857143
-0.535714286,2.4,0.0049992,0.017857143
-0.517857143,2.5,0.004999343,0.017857143
-0.5,2.6,0.004999257,0.017857143
-0.482142857,2.7,0.004999371,0.017857143
-0.464285714,2.8,0.0049992,0.017857143
-0.446428571,2.9,0.0049994,0.017857143
-0.428571429,3,0.0049994,0.017857143
-0.410714286,3.1,0.004999257,0.017857143
-0.392857143,3.2,0.004999543,0.017857143
-0.375,3.3,0.0049994,0.017857143
-0.357142857,3.4,0.004999286,0.017857143
-0.339285714,3.5,0.0049994,0.017857143
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.339285714,3.5,0.0049994,0
-0.357142857,3.4,0.004999286,-0.017857143
-0.375,3.3,0.0049994,-0.017857143
-0.392857143,3.2,0.004999543,-0.017857143
-0.410714286,3.1,0.004999257,-0.017857143
-0.428571429,3,0.0049994,-0.017857143
-0.446428571,2.9,0.0049994,-0.017857143
-0.464285714,2.8,0.0049992,-0.017857143
-0.482142857,2.7,0.004999371,-0.017857143
-0.5,2.6,0.004999257,-0.017857143
-0.517857143,2.5,0.004999343,-0.017857143
-0.535714286,2.4,0.0049992,-0.017857143
-0.553571429,2.3,0.004999371,-0.017857143
-0.571428571,2.2,0.0049992,-0.017857143
-0.589285714,2.1,0.0049994,-0.017857143
-0.607142857,2,0.0049994,-0.017857143
-0.625,1.9,0.0049994,-0.017857143
-0.642857143,1.8,0.004773629,-0.017857143
-0.660714286,1.7,0.004076343,-0.017857143
-0.678571429,1.6,0.003468543,-0.017857143
-0.696428571,1.5,0.0029382,-0.017857143
-0.714285714,1.4,0.0024694,-0.017857143
-0.732142857,1.3,0.00207,-0.017857143
-0.75,1.2,0.001722057,-0.017857143
-0.767857143,1.1,0.0014272,-0.017857143
-0.785714286,1,0.001176057,-0.017857143
-0.803571429,0.9,0.00096158,-0.017857143
-0.821428571,0.8,0.000780751,-0.017857143
-0.839285714,0.7,0.00062494,-0.017857143
-0.857142857,0.6,0.000494429,-0.017857143
-0.875,0.5,0.000381217,-0.017857143
-0.892857143,0.4,0.000284243,-0.017857143
-0.910714286,0.3,0.000199986,-0.017857143
-0.928571429,0.2,0.000125903,-0.017857143
-0.946428571,0.1,6.05714E-05,-0.017857143
-0.964285714,0,0.00000138,-0.017857143
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.964285714,0,0.00000138,0
-0.946428571,0.1,6.05714E-05,0.017857143
-0.928571429,0.2,0.000125903,0.017857143
-0.910714286,0.3,0.000199986,0.017857143
-0.892857143,0.4,0.000284243,0.017857143
-0.875,0.5,0.000381217,0.017857143
-0.857142857,0.6,0.000494429,0.017857143
-0.839285714,0.7,0.00062494,0.017857143
-0.821428571,0.8,0.000780751,0.017857143
-0.803571429,0.9,0.00096158,0.017857143
-0.785714286,1,0.001176057,0.017857143
-0.767857143,1.1,0.0014272,0.017857143
-0.75,1.2,0.001722057,0.017857143
-0.732142857,1.3,0.00207,0.017857143
-0.714285714,1.4,0.0024694,0.017857143
-0.696428571,1.5,0.0029382,0.017857143
-0.678571429,1.6,0.003468543,0.017857143
-0.660714286,1.7,0.004076343,0.017857143
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.660714286,1.7,0.004076343,0
-0.678571429,1.6,0.003468543,-0.017857143
-0.696428571,1.5,0.0029382,-0.017857143
-0.714285714,1.4,0.0024694,-0.017857143
-0.732142857,1.3,0.00207,-0.017857143
-0.75,1.2,0.001722057,-0.017857143
-0.767857143,1.1,0.0014272,-0.017857143
-0.785714286,1,0.001176057,-0.017857143
-0.803571429,0.9,0.00096158,-0.017857143
-0.821428571,0.8,0.000780751,-0.017857143
-0.839285714,0.7,0.00062494,-0.017857143
-0.857142857,0.6,0.000494429,-0.017857143
-0.875,0.5,0.000381217,-0.017857143
